AWAYTEAM,HR,FTAG,HTR,HTHG,HOMETEAM,HY,FTR,HTAG,DATE,FTHG,AR,DIV,AY
Sunderland,0.0,0,D,0,Blackburn,1.0,D,0,17/08/2002,0,0.0,E0,2.0
Chelsea,1.0,3,H,2,Charlton,0.0,A,1,17/08/2002,2,0.0,E0,3.0
Tottenham,0.0,2,H,1,Everton,1.0,D,0,17/08/2002,2,0.0,E0,1.0
Bolton,0.0,1,H,3,Fulham,1.0,H,1,17/08/2002,4,0.0,E0,2.0
Man City,0.0,0,H,2,Leeds,1.0,H,0,17/08/2002,3,0.0,E0,1.0
West Brom,0.0,0,D,0,Man United,1.0,H,0,17/08/2002,1,1.0,E0,1.0
Middlesbrough,0.0,0,D,0,Southampton,0.0,D,0,17/08/2002,0,0.0,E0,0.0
Birmingham,0.0,0,H,2,Arsenal,0.0,H,0,18/08/2002,2,1.0,E0,1.0
Liverpool,0.0,1,D,0,Aston Villa,2.0,A,0,18/08/2002,0,0.0,E0,2.0
West Ham,0.0,0,D,0,Newcastle,1.0,H,0,19/08/2002,4,0.0,E0,2.0
Man United,0.0,2,H,2,Chelsea,3.0,D,1,23/08/2002,2,0.0,E0,2.0
Blackburn,0.0,1,A,0,Birmingham,1.0,A,1,24/08/2002,0,0.0,E0,2.0
Charlton,0.0,2,D,1,Bolton,1.0,A,1,24/08/2002,1,0.0,E0,1.0
Southampton,0.0,0,H,1,Liverpool,0.0,H,0,24/08/2002,3,0.0,E0,1.0
Newcastle,0.0,0,H,1,Man City,1.0,H,0,24/08/2002,1,0.0,E0,1.0
Fulham,0.0,2,H,1,Middlesbrough,4.0,D,0,24/08/2002,2,0.0,E0,2.0
Everton,0.0,1,A,0,Sunderland,1.0,A,1,24/08/2002,0,0.0,E0,0.0
Aston Villa,0.0,0,H,1,Tottenham,2.0,H,0,24/08/2002,1,0.0,E0,0.0
Leeds,0.0,3,A,0,West Brom,1.0,A,1,24/08/2002,1,0.0,E0,1.0
Arsenal,0.0,2,H,1,West Ham,2.0,D,0,24/08/2002,2,0.0,E0,5.0
West Brom,0.0,2,H,3,Arsenal,3.0,H,0,27/08/2002,5,0.0,E0,2.0
Tottenham,0.0,1,A,0,Charlton,1.0,A,1,27/08/2002,0,0.0,E0,2.0
Man City,0.0,0,D,0,Aston Villa,1.0,H,0,28/08/2002,1,0.0,E0,3.0
Liverpool,0.0,2,D,1,Blackburn,3.0,D,1,28/08/2002,2,0.0,E0,1.0
Birmingham,1.0,1,D,0,Everton,0.0,D,0,28/08/2002,1,0.0,E0,3.0
Sunderland,0.0,1,D,0,Leeds,2.0,A,0,28/08/2002,0,0.0,E0,0.0
Chelsea,0.0,1,D,0,Southampton,2.0,D,0,28/08/2002,1,0.0,E0,1.0
Leeds,0.0,1,H,1,Birmingham,3.0,H,0,31/08/2002,2,0.0,E0,3.0
Everton,1.0,1,H,2,Man City,1.0,H,1,31/08/2002,3,0.0,E0,0.0
Blackburn,0.0,0,D,0,Middlesbrough,3.0,H,0,31/08/2002,1,0.0,E0,3.0
Man United,0.0,1,A,0,Sunderland,1.0,D,1,31/08/2002,1,1.0,E0,2.0
Southampton,0.0,1,D,1,Tottenham,3.0,H,1,31/08/2002,2,1.0,E0,1.0
Fulham,0.0,0,D,0,West Brom,4.0,H,0,31/08/2002,1,0.0,E0,3.0
Charlton,0.0,2,A,0,West Ham,3.0,A,2,31/08/2002,0,0.0,E0,1.0
Aston Villa,0.0,0,D,0,Bolton,2.0,H,0,01/09/2002,1,0.0,E0,3.0
Arsenal,0.0,1,H,1,Chelsea,5.0,D,0,01/09/2002,1,1.0,E0,2.0
Newcastle,0.0,2,D,0,Liverpool,1.0,D,0,02/09/2002,2,0.0,E0,2.0
Middlesbrough,0.0,0,H,1,Man United,1.0,H,0,03/09/2002,1,0.0,E0,2.0
Man City,0.0,1,H,2,Arsenal,1.0,H,1,10/09/2002,2,1.0,E0,2.0
Sunderland,0.0,0,H,2,Middlesbrough,3.0,H,0,10/09/2002,3,0.0,E0,3.0
Charlton,0.0,0,D,0,Aston Villa,0.0,H,0,11/09/2002,2,0.0,E0,1.0
Chelsea,0.0,3,H,2,Blackburn,2.0,A,1,11/09/2002,2,0.0,E0,3.0
Tottenham,0.0,2,A,0,Fulham,0.0,H,2,11/09/2002,3,0.0,E0,1.0
Birmingham,0.0,2,H,1,Liverpool,0.0,D,0,11/09/2002,2,0.0,E0,1.0
Bolton,0.0,1,D,0,Man United,1.0,A,0,11/09/2002,0,0.0,E0,2.0
Leeds,0.0,2,A,0,Newcastle,3.0,A,1,11/09/2002,0,0.0,E0,2.0
Everton,0.0,0,D,0,Southampton,3.0,H,0,11/09/2002,1,0.0,E0,3.0
West Brom,0.0,1,A,0,West Ham,1.0,A,1,11/09/2002,0,0.0,E0,0.0
Liverpool,0.0,3,A,0,Bolton,2.0,A,1,14/09/2002,2,0.0,E0,2.0
Arsenal,0.0,3,A,0,Charlton,0.0,A,1,14/09/2002,0,0.0,E0,3.0
Newcastle,0.0,0,H,2,Chelsea,1.0,H,0,14/09/2002,3,0.0,E0,4.0
Middlesbrough,0.0,1,D,1,Everton,2.0,H,1,14/09/2002,2,0.0,E0,1.0
Man United,0.0,0,D,0,Leeds,2.0,H,0,14/09/2002,1,0.0,E0,1.0
Fulham,0.0,3,A,0,Sunderland,2.0,A,1,14/09/2002,0,0.0,E0,2.0
Southampton,0.0,0,D,0,West Brom,2.0,H,0,14/09/2002,1,1.0,E0,1.0
Blackburn,1.0,2,A,0,Man City,3.0,D,1,15/09/2002,2,0.0,E0,3.0
West Ham,0.0,2,D,0,Tottenham,2.0,H,0,15/09/2002,3,1.0,E0,2.0
Aston Villa,0.0,0,H,1,Birmingham,3.0,H,0,16/09/2002,3,0.0,E0,2.0
Bolton,0.0,1,H,1,Arsenal,1.0,H,0,21/09/2002,2,1.0,E0,3.0
West Brom,0.0,0,D,0,Liverpool,2.0,H,0,21/09/2002,2,1.0,E0,2.0
Tottenham,0.0,0,D,0,Man United,1.0,H,0,21/09/2002,1,0.0,E0,1.0
Birmingham,0.0,0,H,1,Middlesbrough,3.0,H,0,21/09/2002,1,0.0,E0,4.0
Sunderland,0.0,0,H,2,Newcastle,2.0,H,0,21/09/2002,2,0.0,E0,4.0
Charlton,0.0,0,D,0,Southampton,2.0,D,0,21/09/2002,0,0.0,E0,1.0
Man City,0.0,0,D,0,West Ham,2.0,D,0,21/09/2002,0,0.0,E0,0.0
Everton,0.0,2,H,1,Aston Villa,0.0,H,0,22/09/2002,3,0.0,E0,1.0
Leeds,0.0,0,H,1,Blackburn,1.0,H,0,22/09/2002,1,0.0,E0,2.0
Chelsea,0.0,0,D,0,Fulham,1.0,D,0,23/09/2002,0,0.0,E0,0.0
Newcastle,0.0,2,A,0,Birmingham,3.0,A,1,28/09/2002,0,0.0,E0,0.0
Southampton,0.0,1,D,0,Bolton,1.0,D,0,28/09/2002,1,0.0,E0,0.0
Man United,0.0,3,H,1,Charlton,2.0,A,0,28/09/2002,1,0.0,E0,3.0
West Ham,0.0,3,D,1,Chelsea,1.0,A,1,28/09/2002,2,0.0,E0,4.0
